id,postcode,suburb,latitude,longitude,solarstation,solarname,solardistance,solarwet,solardry,solarmean,rainstation,rainname,raindistance,rainwet,raindry,rainmean,tempstation,tempname,tempdistance,tempmaxwet,tempmaxdry,tempmaxmean,tempminwet,tempmindry,tempminmean
65,822,Border Store,-12.424,132.961,14153,Black Point,168.23,5.658,6.297,5.977,14198,Jabiru Airport,27.36,260.586,15.443,140.165,14198,Jabiru Airport,27.36,34.898,34.523,34.714,24.783,21.159,23.003
66,822,Burrundie,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
67,822,Bynoe,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
68,822,Bynoe Harbour,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
69,822,Camp Creek,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
70,822,Channel Island,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
71,822,Charles Darwin,-12.449,130.859,14167,Stokes Hill,1.58,5.556,6.126,5.841,14167,Stokes Hill,1.58,276.547,20.386,148.467,14015,Darwin Airport,4.71,32.676,32.318,32.500,24.978,21.350,23.196
72,822,Charlotte,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
73,822,Claravale,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
74,822,Cobourg,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
75,822,Collett Creek,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
76,822,Coomalie Creek,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
77,822,Cox Peninsula,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
78,822,Croker Island,-11.163,132.406,14153,Black Point,29.56,5.658,6.297,5.977,14198,Jabiru Airport,174.64,260.586,15.443,140.165,14153,Black Point,29.56,32.159,31.236,31.705,25.661,22.539,24.114
79,822,Daly,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
